nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0068853	Robert Leslie Bellem	1902	1968	writer,miscellaneous	tt0042100,tt0046585,tt0070754,tt0057798
nm0069108	Geoffrey Bellman	1914	2001	writer,actor,producer	tt0197160,tt0054518,tt1646039,tt0161152
nm0069231	Saul Bellow	1915	2005	writer,actor	tt0212699,tt5656204,tt3967366,tt0086637
nm0069410	Edmund Beloin	1910	1992	producer,writer,actor	tt0053848,tt0037859,tt0038341,tt0041429
nm0069840	Ludwig Bemelmans	1898	1962	writer	tt0038262,tt0051312,tt0040049,tt0959862
nm0070302	Robert Benayoun	1926	1996	actor,director,writer	tt0064297,tt0405287,tt0072243,tt0141709
nm0070360	Nathaniel Benchley	1915	1981	writer,actor	tt0049277,tt0055394,tt0047756,tt0060921
nm0070361	Robert Benchley	1889	1945	actor,writer,soundtrack	tt0036186,tt0035885,tt0034881,tt0032484
nm0070455	Claus Bender	NA	NA	writer	tt0081860,tt0806910
nm0070703	Jean Benedetti	NA	NA	actor,writer	tt0397787,tt0058853,tt0055701,tt0166058
nm0070807	Richard Benedict	1920	1984	actor,director,writer	tt0060009,tt0058805,tt0054135,tt0043338
nm0070836	David Benedictus	1938	NA	writer,miscellaneous,director	tt0061209,tt0058853,tt0413591,tt0165593
nm0070948	Stephen Vincent Benet	1898	1943	writer	tt0044782,tt0033532,tt0016148,tt0047472
nm0071005	Derek Benfield	1926	2009	actor,writer	tt0264295,tt0068054,tt0129723,tt0089489
nm0071290	Christopher Benjamin	1934	NA	actor	tt0918940,tt0058846,tt0082660,tt0084509
nm0071502	Heinz Bennent	1921	2011	actor	tt0082933,tt0097565,tt0076686,tt0080610
nm0071596	Arnold Bennett	1867	1931	writer	tt0012236,tt0008864,tt0012640,tt0020269
nm0071636	Bruce Bennett	1906	2007	actor,writer	tt0037913,tt0040897,tt0036323,tt0039302
nm0071657	Charles Bennett	1899	1995	writer,director,actor	tt0049470,tt0026029,tt0057798,tt0032484
nm0071713	Derek Bennett	1930	NA	director,producer,writer	tt0162090,tt0163454,tt0069560,tt0297621
nm0071739	Elizabeth Bennett	1944	NA	actress	tt0092605,tt0090550,tt0337909,tt0808339
nm0071756	Frances Bennett	1930	2014	actress,writer	tt0298665,tt0063946,tt0081878,tt0163440
nm0071790	Harve Bennett	1930	2015	producer,writer,actor	tt0084726,tt0098382,tt0092007,tt0088170
nm0071799	Hywel Bennett	1944	2017	actor,soundtrack	tt0063729,tt0115288,tt0060395,tt0080297
nm0071824	Jill Bennett	1931	1990	actress,writer	tt0044926,tt0059496,tt0073480,tt0082398
nm0071838	John Bennett	1928	2005	actor,soundtrack	tt0119116,tt0078480,tt0074896,tt0181689
nm0071976	Peter Bennett	1917	1989	actor	tt0129717,tt0989125,tt0082640,tt0047706
nm0071986	Ray Bennett	1895	1957	actor	tt0030126,tt0035786,tt0030382,tt0043291
nm0071999	Richard C. Bennett	1923	2016	director,assistant_director,producer	tt0061747,tt0069557,tt0092010,tt0059988
nm0072025	Rodney Bennett	1935	2017	director,writer,producer	tt0075592,tt0101123,tt0159876,tt0404196
nm0072177	Alan Bennion	1930	2018	actor	tt0164295,tt0088586,tt0056751,tt0159163
nm0072178	Nick Bennion	1935	1994	writer,director	tt0281433,tt0085390,tt0046593,tt1428437
nm0072212	France Bennys	NA	NA	writer	tt0168387
nm0072214	Mac Benoff	1915	1972	writer,producer,director	tt0044274,tt0052511,tt3432222,tt0050014
nm0072328	Jean Benoît-Lévy	1888	1959	director,producer,writer	tt0027730,tt0143749,tt0024310,tt0143315
nm0072432	Alan Benson	NA	NA	director,producer,cinematographer	tt1788934,tt1982423,tt0077082,tt0297947
nm0072498	George Benson	1911	1983	actor	tt0061253,tt0327277,tt0068424,tt0054518
nm0072510	Hugh Benson	1917	1999	producer,writer	tt0058811,tt0078622,tt0082461,tt0074812
nm0072561	Leon Benson	1909	1977	director,producer,production_manager	tt0051311,tt0048913,tt0071318,tt0047767
nm0072578	Martin Benson	1918	2010	actor,writer	tt0075005,tt0049408,tt0058150,tt0074896
nm0072639	Sally Benson	1897	1972	writer,miscellaneous	tt0037059,tt0036342,tt0041257,tt0038303
nm0072740	Michael Benthall	1919	1974	producer,miscellaneous,writer	tt0046637,tt1276955,tt5353406,tt0050013
nm0072745	Josephine Bentham	1901	1987	writer	tt0028662,tt0044243,tt0038652,tt0036970
nm0072757	Henry Bentinck	1919	1997	writer	tt4165732,tt0914702
nm0072804	Dick Bentley	1907	1995	actor	tt0166983,tt0068096,tt0069634,tt0407402
nm0073053	Leonardo Benvenuti	1923	2000	writer,assistant_director,script_department	tt0067565,tt0090055,tt0072637,tt0049282
nm0073388	Eric Bercovici	1933	2014	writer,producer,music_department	tt0075597,tt0056742,tt0062568,tt0080274
nm0073399	Reuben Bercovitch	1923	NA	writer,producer	tt0059205,tt0073501,tt0060440,tt0063056
nm0073414	Françoise Berd	1923	2001	actress,producer,casting_director	tt0079770,tt0076085,tt0074702,tt0084206
nm0073471	Oscar Beregi Jr.	1918	1976	actor	tt0051247,tt0057809,tt0068555,tt0072431
nm0073539	Harold Berens	1903	1995	actor	tt0054518,tt0084814,tt0103927,tt0068040
nm0073714	Bill Berg	1917	2002	writer,animation_department,miscellaneous	tt0097757,tt0091149,tt0095776,tt0088814
nm0073823	Lee Berg	NA	NA	writer	tt0047739,tt0051311,tt0052463,tt0050023
nm0073876	Rainer Berg	1952	NA	writer,script_department	tt0115545,tt0106476,tt0299825,tt0111292
nm0073882	Richard Berg	1922	2009	producer,writer,production_manager	tt0075212,tt0056742,tt0077104,tt0088611
nm0074163	Edward Berger	1970	NA	director,writer,producer	tt3469918,tt4445154,tt0156575,tt8811474
nm0074203	Hilde Berger	1946	NA	actress,writer,script_department	tt1294801,tt0100673,tt4558396,tt0806910
nm0074237	John Berger	1926	2017	writer,actor,art_department	tt0074718,tt0071842,tt0067701,tt2757042
nm0074790	Hjalmar Bergman	1883	1931	writer	tt0014014,tt0010206,tt0022126,tt0014320
nm0074923	Rudolf Bergmann	NA	NA	director,writer,actor	tt0190931,tt0285343,tt0116164,tt0806910
nm0075324	Anthony Berkeley	1893	1971	writer	tt0033608,tt7309050,tt0034248,tt0176357
nm0075344	Martin Berkeley	1904	1979	writer	tt0034011,tt0040402,tt0049667,tt0050294
nm0075834	Rick Berman	1945	NA	producer,writer,miscellaneous	tt0120844,tt0117731,tt0244365,tt0111280
nm0075859	Ted Berman	1919	2001	writer,animation_department,director	tt0076363,tt0066817,tt0082406,tt0088814
nm0075865	Barry Bermange	1933	NA	writer,actor,director	tt0212698,tt0058853,tt0212699,tt1601979
nm0075974	Paul Berna	NA	NA	writer	tt0177448,tt0290255,tt0046593
nm0076165	Carl Bernard	1905	1972	actor	tt1401006,tt2356411,tt0427222,tt0423055
nm0076256	Jean-Jacques Bernard	1888	1972	writer	tt0196062,tt0030313,tt0329965,tt0194886
nm0076352	Paul Bernard	1929	1997	director,production_designer,writer	tt0069647,tt5677428,tt0173591,tt0054518
nm0076473	Sabine Bernardi	1974	NA	director,assistant_director,script_department	tt1830792,tt0907688,tt0831854,tt0806910
nm0076587	Rudolph Bernauer	1880	1953	writer,soundtrack,director	tt0018927,tt0025183,tt0023009,tt0021952
nm0076679	Dieter Berner	1944	NA	director,writer,actor	tt1294801,tt4558396,tt0234978
nm0076958	Larry Berns	1908	1965	producer,production_manager,miscellaneous	tt0050864,tt0044287,tt0052511,tt0046587
nm0076971	Seymour Berns	NA	NA	director,producer,production_manager	tt0243728,tt0042116,tt0043224,tt0202206
nm0077086	Leonard Bernstein	1918	1990	soundtrack,writer,music_department	tt1748122,tt0047296,tt3776668,tt0055614
nm0077159	Walter Bernstein	1919	NA	writer,producer,director	tt0080157,tt0078227,tt0075686,tt0074554
nm0077541	Eric Berry	1913	1993	actor	tt0044908,tt0057765,tt0045839,tt0040725
nm0077648	Owen Berry	1894	1971	actor	tt0129717,tt0796582,tt1817981,tt0046977
nm0078126	Al Bertino	1912	1996	writer,animation_department,miscellaneous	tt0057760,tt0057770,tt0061301,tt0046593
nm0078376	Jacqueline Bertrand	1925	2008	actress	tt0210015,tt0096516,tt0108149,tt0063057
nm0078667	Rudolph Besier	1878	1942	writer	tt0024865,tt0370084,tt0134913,tt0015312
nm0078940	James Best	1926	2015	actor,director,writer	tt0052969,tt0078607,tt0043137,tt0059711
nm0079201	John Bethune	1913	2007	actor,writer	tt0348926,tt0341777,tt5309764,tt0341920
nm0079216	John Betjeman	1906	1984	writer	tt0396354,tt0969640,tt0131188,tt0287837
nm0079348	Ugo Betti	1892	1953	writer	tt0034506,tt0038288,tt0038358,tt0032878
nm0079404	George Betton	1896	1969	actor	tt0054518,tt0416361,tt0129723,tt4885450
nm0079487	Johannes W. Betz	NA	NA	writer,producer	tt5830254,tt0166914,tt1130173,tt1642620
nm0079654	Donald Bevan	1920	2013	writer	tt0804535,tt0042098,tt0046359,tt0046637
nm0079681	Clem Bevans	1879	1963	actor	tt0035279,tt0034167,tt0029044,tt0042546
nm0079815	Rodney Bewes	1937	2017	actor,writer,producer	tt0056751,tt0068190,tt0074799,tt0068032
nm0079992	Richard Beynon	1925	1999	producer,miscellaneous,writer	tt0072539,tt0129717,tt0077067,tt0129723
nm0080135	A.I. Bezzerides	1908	2007	writer,actor	tt0045551,tt0044040,tt0048261,tt0033149
nm0080867	Abner Biberman	1909	1977	director,actor,writer	tt0047037,tt0031398,tt0032599,tt0043137
nm0080875	Ilse Biberti	1958	NA	actress,director,writer	tt0239545,tt0806910,tt0324516,tt0080369
nm0080943	Tony Bicât	NA	NA	director,writer,composer	tt0762803,tt2006718,tt0270884,tt0169886
nm0080981	Charlie Bick	NA	NA	actor,writer	tt0806910
nm0081052	Jack M. Bickham	1930	1997	writer	tt0072653,tt0046593,tt0074176
nm0081126	Sidney Biddell	1898	1972	writer,producer,miscellaneous	tt0039305,tt0035125,tt0037316,tt0032448
nm0081214	Stephanie Bidmead	1929	1974	actress	tt0212698,tt0165593,tt0380953,tt0056751
nm0081268	Horst Bieber	1942	NA	writer	tt0104331,tt0965563,tt0806910
nm0081272	Karl-Heinz Bieber	1926	NA	director,writer,assistant_director	tt0233889,tt3795936,tt0062654,tt0806910
nm0081748	Joe Bigelow	1910	1976	writer,producer,production_manager	tt0052511,tt0042094,tt0057755,tt0043209
nm0081897	Sascha Bigler	1968	NA	writer,director,assistant_director	tt0461004,tt1173678,tt0806910,tt5702962
nm0082296	Stephen Bill	1948	NA	actor,writer	tt0101077,tt0144060,tt0368486,tt0093776
nm0082300	Tony Bill	1940	NA	actor,director,producer	tt0454824,tt0093029,tt0070735,tt0057517
nm0082392	François Billetdoux	1927	1991	writer,actor,director	tt0061987,tt0103055,tt0054908,tt0058703
nm0082404	Stewart C. Billett	NA	NA	writer,producer,executive	tt0463806,tt0112457,tt0046593,tt0066811
nm0082455	Howard Billingham	NA	NA	editor	tt0094430,tt0056751,tt0077067,tt0096536
nm0082548	Rachel Billington	1942	NA	writer,editor	tt8374652,tt0067345,tt0165592,tt7832386
nm0082676	Bruce Bilson	1928	NA	director,assistant_director,producer	tt0058805,tt0065329,tt0115351,tt0071054
nm0082809	Richard Binder	NA	NA	production_manager,writer	tt0202309,tt0222145,tt0230120,tt0806910
nm0082843	John Bindon	1943	1993	actor	tt0074409,tt0072684,tt0067128,tt0063893
nm0082923	Charlotte Bingham	1942	NA	writer	tt0065349,tt0072551,tt0085067,tt0400044
nm0082941	John Bingham	1908	1988	writer	tt0044263,tt0065737,tt0804505,tt0055657
nm0083081	Edward Binns	1916	1990	actor	tt0066206,tt0050083,tt0084855,tt0053125
nm0083125	Claude Binyon	1905	1978	writer,director,producer	tt0044319,tt0034862,tt0054127,tt0042767
nm0083257	Frank Birch	1889	1956	actor,director	tt0426098,tt0989125,tt0416064,tt0408507
nm0083413	Michael J. Bird	1928	2001	writer	tt0063953,tt0066682,tt0062574,tt0058846
nm0083424	Norman Bird	1924	2005	actor	tt0054518,tt0054731,tt0052997,tt0077869
nm0083433	Richard Bird	1895	1979	actor,director,producer	tt0035962,tt0026718,tt0022483,tt0030846
nm0083640	Len Birman	1932	NA	actor	tt0329700,tt0078937,tt0075223,tt0078938
nm0083653	George A. Birmingham	1865	1950	writer	tt0325453,tt0166624,tt0416767,tt0989125
nm0084183	Ron Bishop	1921	1988	writer,miscellaneous	tt0047736,tt0057782,tt0055666,tt0066505
nm0084204	Terry Bishop	1912	1981	director,writer,assistant_director	tt0053496,tt0030998,tt0051940,tt0052709
nm0084601	Jochen Bitzer	1965	NA	writer	tt2374286,tt0806910,tt0125618,tt4966756
nm0084644	Carl Bixby	1895	1978	writer	tt0040051,tt0046641,tt0048860
nm0085038	Gunnar Björnstrand	1909	1986	actor,soundtrack	tt0050976,tt0050986,tt0060827,tt0048641
nm0085116	Tommy Blacha	1962	NA	writer,actor,producer	tt0271320,tt0839188,tt1879603,tt0106052
nm0085254	Dorothy Black	1899	1985	actress	tt0228449,tt1343000,tt1480599,tt0193194
nm0085301	Hollis Black	NA	NA	actor	tt0046593
nm0085307	Ian Stuart Black	1915	1997	writer,miscellaneous,script_department	tt0053496,tt0046001,tt0056751,tt0051285
nm0085308	Isobel Black	1942	NA	actress	tt0499367,tt0246397,tt0063893,tt0054518
nm0085351	John Black	1931	NA	director,producer,writer	tt0056751,tt0940799,tt1816389,tt0053494
nm0085353	John D.F. Black	1932	2018	writer,producer,director	tt0060028,tt0067741,tt0073972,tt0056774
nm0085359	Jordan Black	1970	NA	actor,writer,director	tt2891574,tt1439629,tt1772271,tt0837629
nm0085385	Kitty Black	1914	2006	producer,writer	tt0341777,tt0161131,tt0446859,tt0159884
nm0085389	Laura Black	1929	2000	writer	tt0140733,tt0403754,tt0076306,tt0095931
nm0085457	Noel Black	1937	2014	director,writer,producer	tt0063456,tt0233023,tt0059725,tt0089601
nm0085519	Stephen Black	NA	NA	script_department,writer,producer	tt0086775,tt0090481,tt0081863,tt0081858
nm0085552	Walter Black	NA	NA	writer,miscellaneous,script_department	tt0057730,tt0047756,tt0071033,tt0066701
nm0085648	Thomas W. Blackburn	1913	1992	writer,soundtrack,composer	tt0432283,tt0130060,tt0049954,tt0088763
nm0085662	Irwin Blacker	1919	1985	writer,miscellaneous	tt0441950,tt0055813,tt0055710,tt0042123
nm0085804	Peter Blackmore	1909	1984	writer	tt0049906,tt0040597,tt0045481,tt0045623
nm0085985	Michael Blackwood	NA	NA	director,producer,writer	tt1826679,tt1826634,tt1827369,tt1832442
nm0086198	Betsy Blair	1923	2009	actress	tt0043709,tt0176357,tt0049043,tt0048356
nm0086262	Isla Blair	1944	NA	actress	tt1634122,tt0097576,tt0054518,tt0098575
nm0086293	Lee Blair	1911	1993	animation_department,art_department,writer	tt0032401,tt0032455,tt0026162,tt0036326
nm0086295	Les Blair	1941	NA	director,writer,producer	tt0290641,tt0106340,tt0119430,tt0297625
nm0086304	Mary Blair	1911	1978	animation_department,art_department,writer	tt0043274,tt0034465,tt0046183,tt0042332
nm0086404	Marie-Claire Blais	1939	NA	writer	tt0463287,tt0133211,tt0376291,tt0348926
nm0086475	Anne Blake	1908	2000	actress	tt0063893,tt0059749,tt0069654,tt0219454
nm0086506	Katharine Blake	1921	1991	actress,writer	tt0348926,tt0341777,tt0161126,tt0043301
nm0086556	Gerald Blake	1928	1991	director,producer	tt0074035,tt0159867,tt0078665,tt0416361
nm0086627	Larry J. Blake	1914	1982	actor	tt0061747,tt0039912,tt0043014,tt0053546
nm0086671	Cecil Day-Lewis	1904	1972	writer,music_department	tt0055657,tt0064861,tt0201477,tt9062784
nm0086780	Colin Blakely	1930	1987	actor,miscellaneous	tt0058853,tt0060665,tt0071877,tt0066249
nm0086820	Michael Blakemore	1928	NA	actor,director,writer	tt0059258,tt0109491,tt0441950,tt0159876
nm0086860	Caroline Blakiston	1933	NA	actress	tt0090669,tt2091298,tt0457513,tt0086190
nm0087533	Henry Blanke	1901	1981	producer,miscellaneous,assistant_director	tt0053131,tt0033870,tt0134324,tt0040897
nm0087609	Joby Blanshard	1919	1992	actor	tt1850507,tt0065290,tt1614666,tt0068498
nm0087704	Alessandro Blasetti	1900	1987	director,writer,editor	tt0038560,tt0033489,tt0042859,tt0059318
nm0087904	Barry W. Blaustein	1955	NA	writer,script_department,producer	tt0103859,tt0218043,tt0094898,tt0117218
nm0087926	Charles Blavette	1902	1967	actor	tt0025898,tt0154473,tt0036736,tt0044883
nm0088062	Alan Bleasdale	1946	NA	writer,producer	tt0083689,tt0112024,tt0101104,tt1504261
nm0088161	Robert Blees	1918	2015	writer,producer,miscellaneous	tt0316900,tt0077065,tt0048069,tt0068615
nm0088393	Ulrike Bliefert	1951	NA	actress,writer,soundtrack	tt8716162,tt0806910,tt3118090,tt0118259
nm0088479	William Blinn	1937	2020	writer,producer,miscellaneous	tt0335438,tt0083412,tt0075572,tt0071023
nm0088602	Bertram Bloch	1892	1987	writer	tt0031210,tt0017089,tt0017222,tt0023074
nm0088624	John W. Bloch	1924	1993	writer,miscellaneous	tt0061265,tt0065357,tt0047756,tt0068135
nm0088645	Robert Bloch	1917	1994	writer	tt0047708,tt0060028,tt0054215,tt0155975
nm0088942	Derek Blomfield	1920	1964	actor,writer	tt0303509,tt0421165,tt0047094,tt0050960
nm0089166	George Arthur Bloom	NA	NA	writer,miscellaneous,producer	tt0309141,tt0068089,tt0108847,tt0272417
nm0089169	Harold Jack Bloom	1924	1999	writer,producer,miscellaneous	tt0077065,tt0044953,tt0068077,tt0062512
nm0089182	John Bloom	1935	NA	editor,editorial_department	tt0083987,tt0376541,tt0465551,tt0318997
nm0089276	George Bloomfield	1930	2011	director,producer,actor	tt0094429,tt0069386,tt0106087,tt0108756
nm0089286	Robert Bloomfield	NA	NA	writer	tt0061277,tt0058024,tt0058855,tt0050079
nm0089342	Henry Martyn Blossom	1866	1919	writer,soundtrack,music_department	tt0002746,tt0022029,tt0018311,tt0370179
nm0089348	Roberts Blossom	1924	2011	actor	tt0085333,tt0075860,tt0079116,tt0099785
nm0089478	Ben Blue	1901	1975	actor,soundtrack,writer	tt0039054,tt0017636,tt0051312,tt0057193
nm0089560	Richard M. Bluel	1925	1992	producer,writer,miscellaneous	tt0059991,tt0066696,tt0071034,tt0082461
nm0089637	Edwin Blum	1906	1995	writer,script_department	tt0046348,tt0050704,tt0036696,tt0046359
nm0089676	Len Blum	1951	NA	writer,sound_department,miscellaneous	tt0083131,tt0119951,tt0079540,tt0383216
nm0089777	Hans-Christoph Blumenberg	1947	NA	director,writer,actor	tt0295522,tt0112474,tt1179082,tt0260853
nm0089944	John Bluthal	1929	2018	actor,soundtrack,writer	tt0086393,tt0061452,tt0119116,tt0059260
nm0090050	Peter Blythe	1934	2004	actor	tt0062787,tt0071020,tt0078680,tt0086667
nm0090139	Wally Boag	1920	2011	actor,soundtrack	tt0057751,tt0046593,tt0064603,tt0054594
nm0090155	Robert Board	1922	2016	actor,miscellaneous	tt0979257,tt0297468,tt0380673,tt0959862
nm0090213	Al Boasberg	1892	1937	writer,director,soundtrack	tt2111355,tt0017925,tt0025542,tt0016630
nm0090656	Jerry Bock	1928	2010	soundtrack,composer,music_department	tt1261945,tt0126886,tt0067093,tt0071562
nm0090840	DeWitt Bodeen	1908	1988	writer	tt0036733,tt0034587,tt0036341,tt0055796
nm0091200	David Boehm	1893	1962	writer	tt0025755,tt0023986,tt0096794,tt0035959
nm0091213	Sydney Boehm	1908	1990	writer,producer	tt0044382,tt0045555,tt0042960,tt0044207
nm0091396	Knut Boeser	NA	NA	writer	tt0920549,tt0103884,tt0806910,tt0110689
nm0091430	Budd Boetticher	1916	2001	director,writer,assistant_director	tt0043363,tt0096244,tt0045630,tt0048331
nm0091575	Paul Bogart	1919	2012	director,producer,actor	tt0088526,tt0066626,tt0096289,tt0831400
nm0091852	Norman Bogner	1935	NA	writer,script_department,miscellaneous	tt0309129,tt0161126,tt0075580,tt0062155
nm0092110	Ralph Bohn	1955	NA	director,writer,actor	tt0081860,tt1590978,tt0806910,tt0193669
nm0092115	Thomas Bohn	1959	NA	director,writer,actor	tt0806910,tt3996580,tt2145849,tt0169272
nm0092267	Pierre Boileau	1906	1989	writer	tt0052357,tt0046911,tt0053459,tt0116095
nm0092268	Thomas Narcejac	1908	1998	writer	tt0052357,tt0053459,tt0116095,tt0046911
nm0092349	David Boisseau	1924	2003	director,producer,writer	tt0166049,tt0181240,tt0914702,tt0441950
nm0092422	Peter Boita	1924	1997	editor,editorial_department,sound_department	tt0089370,tt0090605,tt0093405,tt0100260
nm0092435	Arrigo Boito	1842	1918	writer,soundtrack,music_department	tt0159876,tt0372784,tt0040533,tt0416320
nm0092638	Elsa Bolam	NA	NA	director,miscellaneous,casting_department	tt0159897,tt0227788,tt0398430,tt0212699
nm0092658	Bridget Boland	1913	1988	writer	tt0236413,tt0064030,tt0048512,tt0031359
nm0092822	Rainer Boldt	1946	2017	director,writer,script_department	tt0315585,tt0085717,tt0099643,tt0106085
nm0093322	Ben Bolt	1952	NA	director,writer,cinematographer	tt1606375,tt0118169,tt0408381,tt0097963
nm0093397	Guy Bolton	1884	1979	writer,soundtrack,composer	tt0020112,tt0020799,tt0026739,tt0021486
nm0093430	Muriel Roy Bolton	1908	1983	writer,miscellaneous	tt0037752,tt0037475,tt0040829,tt0037932
nm0093769	Fortunio Bonanova	1895	1969	actor,soundtrack,director	tt0037979,tt0036775,tt0033467,tt0050105
nm0093905	Christopher Bond	NA	NA	script_department,writer,soundtrack	tt0163933,tt0135091,tt0163477,tt0078703
nm0093921	Derek Bond	1920	2006	actor,writer,miscellaneous	tt0039657,tt0040761,tt0039492,tt0041641
nm0093927	Edward Bond	1934	NA	writer,director	tt0060176,tt0064576,tt0067959,tt0064682
nm0093937	Gary Bond	1940	1995	actor	tt0196253,tt0058777,tt2162303,tt0067541
nm0093938	Geoffrey Bond	1920	2009	writer,actor	tt0311137,tt0043453,tt0219077,tt0274420
nm0093972	Julian Bond	1930	2012	writer,miscellaneous,producer	tt0074409,tt0098889,tt0088111,tt0055701
nm0094175	Stephen Bonds	NA	NA	writer,editor	tt4221954,tt0046593
nm0094504	Philip Bonham-Carter	NA	NA	cinematographer,camera_department,director	tt0165592,tt0200358,tt0429290,tt1245432
nm0095607	Elayne Boosler	1952	NA	actress,writer,director	tt0046593,tt0346222,tt0100192,tt4094300
nm0095665	Connie Booth	1940	NA	actress,writer,soundtrack	tt0066765,tt0072095,tt0072500,tt0071853
nm0095711	Helen Booth	1911	1971	actress	tt0060395,tt0066528,tt0064576,tt0047728
nm0095718	James Booth	1927	2005	actor,writer	tt0101326,tt0080948,tt0089835,tt0058777
nm0095850	Derrick Boothroyd	1921	1996	writer	tt0990935,tt0048772
nm0096293	Jacques B. Brunius	1906	1967	actor,writer,director	tt0046286,tt0028464,tt0267098,tt0021577
nm0096309	Wilmut Borell	1922	1997	actor	tt0051376,tt0050746,tt0055519,tt0054541
nm0096391	Peter Boretski	NA	2001	actor,director,producer	tt0100281,tt0102511,tt0112111,tt0348926
nm0096394	Allen Boretz	1900	1986	writer,soundtrack	tt0039982,tt0037420,tt0036628,tt0036047
nm0096395	Alvin Boretz	1919	2010	writer,miscellaneous	tt0069599,tt0047756,tt0042074,tt0076975
nm0096508	Hans-Henning Borgelt	1946	NA	director,writer,producer	tt0122524,tt0447812,tt0309907,tt0310082
nm0096831	Norman Borisoff	1918	2013	writer	tt0276344,tt0055701,tt0061271,tt0058816
nm0097015	Anneliese Born	1901	1989	actress	tt0334946,tt0044742,tt0407394,tt0793361
nm0097080	Ernest Borneman	1915	1995	writer	tt0046784,tt0042152,tt0046749,tt0061916
nm0097407	Robert Guy Barrows	1926	2008	writer	tt0056757,tt0060005,tt0059991,tt0060009
nm0097648	Frank Borzage	1894	1962	actor,director,producer	tt0019429,tt0025569,tt0021635,tt0018379
nm0097796	William Bosche	1922	1990	writer,animation_department,director	tt0332332,tt0046593,tt0048280,tt0206919
nm0097848	Wallace Bosco	1880	1973	actor,writer,producer	tt0047747,tt0046585,tt0232496,tt0003022
nm0097915	Hans Bosenius	NA	NA	actor	tt0055677,tt0793361,tt0271927,tt0054864
nm0097919	Horst Bosetzky	1938	2018	writer	tt0071459,tt0806910,tt0174403,tt0081860
nm0097922	Jeremiah Bosgang	NA	NA	writer,producer,director	tt0132995,tt0098830,tt0072562,tt0235137
nm0097940	Derek Boshier	NA	NA	actor	tt0435950,tt0902465,tt0200358,tt0259792
nm0098086	Sabine Boss	1966	NA	director,sound_department,writer	tt4634900,tt0311081,tt2883218,tt8984382
nm0098250	David E. Boston	NA	NA	writer,actor,miscellaneous	tt0179919,tt0079481,tt0046593,tt0073393
nm0098381	Pam Bosworth	NA	NA	editor,sound_department	tt0048227,tt0050212,tt1682581,tt0056751
nm0098655	Geoffrey Botterill	1924	2011	editor,editorial_department	tt0298668,tt0162114,tt0057762,tt0056751
nm0098712	Phyllis Bottome	1884	1963	writer	tt0037632,tt0032811,tt0051708,tt0026893
nm0098733	Joseph Bottoms	1954	NA	actor,soundtrack	tt0071438,tt0163953,tt0078869,tt0077025
nm0098771	Pauline Boty	1938	1966	actress	tt0407375,tt1730139,tt0161126,tt0190181
nm0099105	Dion Boucicault	1822	1890	writer	tt0010325,tt0346791,tt0021023,tt0350544
nm0099474	Chris Bould	1953	NA	director,miscellaneous,producer	tt0094580,tt0117015,tt0104993,tt0115243
nm0099476	James Bould	1908	NA	art_department,production_designer,director	tt9348846,tt0294426,tt0989125,tt1336612
nm0099541	Pierre Boulle	1912	1994	writer	tt0050212,tt0065462,tt0133152,tt0063442
nm0100073	Laurence Bourne	1936	2012	director,actor,producer	tt0172062,tt0059963,tt0054518,tt0165050
nm0100862	John Bowen	1924	2019	writer,producer	tt0969784,tt0900885,tt0465319,tt0066666
nm0100884	Joseph Shearing	NA	NA	writer	tt0037089,tt0047708,tt0040809,tt0047756
nm0100959	Dallas Bower	1907	1999	producer,director,writer	tt5518964,tt0030298,tt0025635,tt0968270
nm0101076	Lally Bowers	1917	1984	actress,soundtrack	tt0057933,tt0075232,tt0159867,tt0054518
nm0101095	Raymond Bowers	NA	NA	writer,script_department	tt0148662,tt0047706,tt0058846,tt0062583
nm0101115	William Bowers	1916	1987	writer,actor,producer	tt0042531,tt0041400,tt0065051,tt0071562
nm0101208	Norman Bowler	1932	NA	actor	tt1868096,tt0054518,tt0065922,tt0068069
nm0101247	Paul Bowles	1910	1999	writer,composer,actor	tt0243162,tt0047469,tt1300859,tt0100594
nm0101248	Peter Bowles	1936	NA	actor,writer,producer	tt0060176,tt0078703,tt0144053,tt0200465
nm0101314	Edward Bowman	NA	NA	writer,art_department	tt2245297,tt0297621
nm0101337	John Bowman	NA	NA	writer,producer,miscellaneous	tt0098830,tt0072562,tt0319971,tt0103488
nm0101350	Lee Bowman	1914	1979	actor,soundtrack	tt0038084,tt0038178,tt0039840,tt0041671
nm0101511	Sydney Box	1907	1983	producer,writer,production_manager	tt0040443,tt0046992,tt0038924,tt0040703
nm0101521	Tim Boxell	NA	NA	director,writer,miscellaneous	tt0086197,tt0091129,tt0114857,tt0123371
nm0101635	Eamonn Boyce	NA	NA	actor	tt0068498,tt0159875,tt0075593,tt0159910
nm0101756	Edward Boyd	1916	1989	writer,script_department	tt0405609,tt0161179,tt0062207,tt0180348
nm0102327	Robert F. Boyle	1909	2010	art_director,production_designer,art_department	tt0058329,tt0067093,tt0053125,tt0056869
nm0102622	James Brabazon	1923	2007	producer,script_department,writer	tt0159164,tt0103322,tt1454044,tt0468986
nm0102646	John Brabourne	1924	2005	producer,production_manager,actor	tt0077413,tt0071877,tt0063518,tt0087892
nm0102758	Frank Bracht	1910	1985	editor,editorial_department,cinematographer	tt0063374,tt0047673,tt0057163,tt0050419
